"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.08 (0.05-0.12)",1.67671753147194e-05
"Brain","0.11 (0.07-0.14)",9.2986748553352e-09
"Cardiovascular","0.03 (-0.00-0.07)",0.0745830152546058
"Endocrine","0.06 (0.02-0.10)",0.00197398657063502
"Gastrointestinal","0.07 (0.04-0.11)",0.000185998105717083
"Immune","0.05 (0.02-0.09)",0.00516674028375779
"Kidney_urinary","0.14 (0.10-0.17)",6.63412336506578e-13
"Liver","0.07 (0.03-0.10)",0.000691346001188253
"Lung","0.04 (0.00-0.08)",0.0436201091465132
"Muscle","0.04 (0.00-0.07)",0.0565467471064817
"Nerve","0.03 (-0.00-0.07)",0.0833260496442089
"Ovary","0.04 (-0.01-0.09)",0.12658247097776
"Pancreas","0.02 (-0.01-0.06)",0.266062920512002
"Prostate","-0.09 (-0.15--0.03)",0.00289142925010922
"Skin","0.11 (0.07-0.14)",1.45782271895804e-08
