"Organ","OR (95% CI)","FDR"
"Adipose","1.24 (0.71-2.17)",0.656829142265072
"Brain","1.60 (0.85-3.00)",0.656829142265072
"Cardiovascular","1.47 (0.83-2.61)",0.656829142265072
"Endocrine","0.83 (0.45-1.52)",0.656829142265072
"Gastrointestinal","1.18 (0.67-2.08)",0.656829142265072
"Immune","1.41 (0.84-2.36)",0.656829142265072
"Kidney and Bladder","1.25 (0.66-2.37)",0.656829142265072
"Liver","1.20 (0.71-2.02)",0.656829142265072
"Lung","1.15 (0.71-1.87)",0.656829142265072
"Muscle","0.83 (0.47-1.44)",0.656829142265072
"Nerve","1.28 (0.77-2.13)",0.656829142265072
"Ovary","0.95 (0.58-1.56)",0.83102944262036
"Pancreas","0.67 (0.32-1.40)",0.656829142265072
"Skin","1.07 (0.64-1.77)",0.83102944262036
