"Organ","OR (95% CI)","FDR"
"Adipose","1.34 (0.93-1.93)",0.145326594017933
"Brain","2.05 (1.23-3.40)",0.0143902877025987
"Cardiovascular","2.85 (1.62-5.01)",0.00415179529642125
"Endocrine","2.00 (1.25-3.21)",0.0143902877025987
"Gastrointestinal","1.56 (1.05-2.32)",0.0503897371015015
"Immune","2.24 (1.34-3.74)",0.0103423583330143
"Kidney and Bladder","2.16 (1.35-3.45)",0.0100797571880999
"Liver","1.80 (1.14-2.85)",0.025686605839675
"Lung","1.36 (0.92-2.02)",0.145326594017933
"Muscle","1.36 (0.90-2.03)",0.151901440358461
"Nerve","1.93 (1.21-3.09)",0.0143902877025987
"Ovary","2.09 (0.85-5.14)",0.145326594017933
"Pancreas","1.53 (1.02-2.29)",0.0680379263467072
"Prostate","0.64 (0.32-1.29)",0.213126753392984
"Skin","1.34 (0.92-1.94)",0.145326594017933
