"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.16 (0.12-0.20)",4.47781221857384e-16
"Brain","0.15 (0.11-0.19)",5.12813368298535e-14
"Cardiovascular","0.14 (0.10-0.17)",5.70434557327292e-12
"Endocrine","0.10 (0.07-0.14)",1.49692027860102e-07
"Gastrointestinal","0.22 (0.19-0.26)",5.68724227801429e-31
"Immune","0.21 (0.17-0.25)",5.05141977411346e-27
"Kidney_urinary","0.11 (0.08-0.15)",1.59228740688329e-08
"Liver","0.22 (0.18-0.25)",6.03426758240457e-29
"Lung","0.17 (0.13-0.21)",2.15085134110506e-18
"Muscle","0.05 (0.01-0.08)",0.0249458977215308
"Nerve","0.18 (0.15-0.22)",4.06699527600246e-21
"Ovary","0.11 (0.06-0.16)",9.18822465933447e-05
"Pancreas","0.05 (0.02-0.09)",0.0090105117123561
"Prostate","0.08 (0.02-0.14)",0.0142620202697026
"Skin","0.18 (0.15-0.22)",6.17080452863583e-21
