"Organ","OR (95% CI)","FDR"
"Adipose","1.92 (1.09-3.39)",0.059281333280743
"Brain","2.43 (1.27-4.62)",0.0526016965868489
"Cardiovascular","2.03 (1.09-3.77)",0.059281333280743
"Endocrine","1.41 (0.89-2.23)",0.181922802187454
"Gastrointestinal","1.92 (1.07-3.43)",0.059281333280743
"Immune","3.00 (1.22-7.38)",0.059281333280743
"Kidney and Bladder","1.37 (0.88-2.12)",0.186889844405352
"Liver","2.78 (1.34-5.75)",0.0526016965868489
"Lung","1.39 (0.83-2.33)",0.22349394121983
"Muscle","1.57 (0.96-2.55)",0.108770103199494
"Nerve","1.88 (1.10-3.23)",0.059281333280743
"Ovary","2.03 (0.91-4.53)",0.114831812248028
"Pancreas","1.15 (0.74-1.78)",0.532644671169807
"Prostate","3.9e+00 (1.0e+00-1.6e+01)",0.0842249522463334
"Skin","1.78 (1.05-3.02)",0.060985780949565
