"Organ","OR (95% CI)","FDR"
"Adipose","1.31 (0.67-2.58)",0.796589233945315
"Brain","1.64 (0.79-3.43)",0.769311752605397
"Cardiovascular","1.08 (0.59-1.99)",0.854578471729359
"Endocrine","1.27 (0.63-2.54)",0.796589233945315
"Gastrointestinal","1.20 (0.66-2.19)",0.796589233945315
"Immune","1.88 (0.77-4.56)",0.769311752605397
"Kidney and Bladder","1.19 (0.57-2.50)",0.796589233945315
"Liver","1.14 (0.60-2.17)",0.796589233945315
"Lung","1.95 (0.84-4.52)",0.769311752605397
"Muscle","1.30 (0.73-2.29)",0.796589233945315
"Nerve","1.08 (0.49-2.36)",0.854578471729359
"Ovary","1.66 (0.45-6.21)",0.796589233945315
"Pancreas","1.52 (0.80-2.90)",0.769311752605397
"Prostate","1.43 (0.55-3.69)",0.796589233945315
"Skin","1.20 (0.53-2.71)",0.796589233945315
