"Organ","HR (95% CI)","FDR"
"Adipose","0.98 (0.86-1.11)",0.884680188019815
"Brain","0.89 (0.75-1.06)",0.52434353062807
"Cardiovascular","0.96 (0.82-1.13)",0.884680188019815
"Endocrine","0.93 (0.80-1.09)",0.639955740037263
"Gastrointestinal","1.00 (0.85-1.17)",0.99053735510192
"Immune","0.89 (0.77-1.03)",0.52434353062807
"Kidney and Bladder","0.95 (0.81-1.12)",0.865035743564097
"Liver","0.93 (0.79-1.09)",0.639955740037263
"Lung","0.97 (0.85-1.12)",0.884680188019815
"Muscle","0.86 (0.74-1.00)",0.52434353062807
"Nerve","0.90 (0.79-1.04)",0.52434353062807
"Pancreas","0.90 (0.77-1.05)",0.52434353062807
"Prostate","1.01 (0.88-1.17)",0.9368343216504
"Skin","0.93 (0.82-1.07)",0.639955740037263
