"Organ","HR (95% CI)","FDR"
"Adipose","1.36 (1.11-1.67)",0.0434951062481053
"Brain","1.04 (0.86-1.25)",0.794741293620729
"Cardiovascular","1.16 (0.94-1.43)",0.343584894044111
"Endocrine","1.31 (1.08-1.60)",0.0557737160984691
"Gastrointestinal","1.00 (0.82-1.21)",0.975381745237657
"Immune","1.03 (0.85-1.26)",0.817902303637132
"Kidney and Bladder","1.20 (0.97-1.49)",0.233755080712214
"Liver","1.05 (0.85-1.29)",0.794741293620729
"Lung","1.14 (0.93-1.41)",0.343584894044111
"Muscle","1.14 (1.01-1.28)",0.111324459419165
"Nerve","1.10 (0.88-1.37)",0.602918359426704
"Ovary","1.29 (0.88-1.87)",0.343584894044111
"Pancreas","0.94 (0.78-1.14)",0.712559996714771
"Prostate","0.71 (0.54-0.94)",0.088070168989146
"Skin","1.22 (0.99-1.51)",0.203748450380924
