"Organ","HR (95% CI)","FDR"
"Adipose","1.03 (0.93-1.15)",0.594530315067325
"Brain","1.13 (1.04-1.23)",0.00730435865289287
"Cardiovascular","1.18 (1.09-1.28)",0.000502347303197932
"Endocrine","1.15 (1.06-1.25)",0.00253806718552717
"Gastrointestinal","1.17 (1.08-1.27)",0.000502347303197932
"Immune","1.10 (1.01-1.19)",0.0516501832629768
"Kidney and Bladder","1.17 (1.08-1.27)",0.000502347303197932
"Liver","1.07 (0.99-1.17)",0.175782958806531
"Lung","1.04 (0.94-1.15)",0.499462596291444
"Muscle","1.05 (0.97-1.13)",0.304916420207324
"Nerve","1.06 (0.97-1.16)",0.22243091657764
"Ovary","1.09 (0.98-1.23)",0.186386189111656
"Pancreas","1.08 (1.01-1.17)",0.0683709914639525
"Prostate","1.13 (1.02-1.26)",0.0516501832629768
"Skin","1.02 (0.94-1.11)",0.60362371709361
