"Organ","HR (95% CI)","FDR"
"Adipose","1.29 (1.23-1.37)",3.24007263067443e-20
"Brain","1.39 (1.32-1.46)",2.41086666463451e-39
"Cardiovascular","1.47 (1.39-1.55)",3.89185551882246e-44
"Endocrine","1.45 (1.38-1.52)",1.01022102538482e-51
"Gastrointestinal","1.47 (1.40-1.54)",9.67591064920137e-58
"Immune","1.39 (1.32-1.45)",6.47355558111087e-45
"Kidney and Bladder","1.48 (1.42-1.55)",1.16606949973354e-64
"Liver","1.45 (1.38-1.53)",4.55545386325831e-46
"Lung","1.35 (1.28-1.42)",1.49702334940517e-30
"Muscle","1.19 (1.11-1.27)",1.90279124880234e-07
"Nerve","1.36 (1.30-1.42)",1.51789689742989e-37
"Ovary","1.31 (1.23-1.41)",9.97387314639942e-15
"Pancreas","1.26 (1.20-1.32)",9.77575150167224e-20
"Prostate","1.25 (1.17-1.33)",2.38682215995541e-11
"Skin","1.26 (1.20-1.33)",8.27607897498991e-19
