"Organ","HR (95% CI)","FDR"
"Adipose","1.25 (1.16-1.35)",4.29505887406608e-08
"Brain","1.31 (1.21-1.41)",2.06657881409574e-11
"Cardiovascular","1.48 (1.38-1.60)",7.04149381061093e-24
"Endocrine","1.36 (1.26-1.47)",1.5917586581197e-15
"Gastrointestinal","1.38 (1.28-1.49)",6.7732251300388e-16
"Immune","1.33 (1.24-1.43)",1.03052375197026e-13
"Kidney and Bladder","1.42 (1.33-1.52)",2.95871273838688e-22
"Liver","1.41 (1.30-1.53)",3.58486103547815e-16
"Lung","1.27 (1.18-1.37)",4.28201200195527e-10
"Muscle","1.19 (1.10-1.29)",1.34364326508126e-05
"Nerve","1.34 (1.24-1.45)",4.18382651469609e-13
"Ovary","1.26 (1.12-1.42)",0.00017350514185524
"Pancreas","1.20 (1.11-1.30)",2.78319116361803e-06
"Prostate","1.09 (1.00-1.20)",0.063064218627797
"Skin","1.18 (1.09-1.27)",5.64060020026385e-05
