"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.09 (0.05-0.12)",4.14788011220061e-07
"Brain","0.15 (0.12-0.18)",6.456562712738e-25
"Cardiovascular","0.14 (0.11-0.16)",5.49474824706456e-19
"Endocrine","0.12 (0.10-0.15)",4.3348309262306e-18
"Gastrointestinal","0.13 (0.11-0.16)",4.10043310753688e-22
"Immune","0.17 (0.14-0.19)",7.74530802402694e-30
"Kidney_urinary","0.17 (0.14-0.19)",8.14442054471656e-34
"Liver","0.15 (0.12-0.18)",4.29691050420979e-26
"Lung","0.10 (0.07-0.13)",1.77939367466146e-09
"Muscle","0.09 (0.06-0.12)",2.3365170916365e-09
"Nerve","0.12 (0.09-0.14)",1.87208568992483e-15
"Ovary","0.09 (0.06-0.13)",2.20645911993673e-06
"Pancreas","0.09 (0.06-0.12)",1.45816278547882e-10
"Prostate","0.10 (0.05-0.14)",1.84335205865486e-05
"Skin","0.10 (0.08-0.13)",1.37067939798116e-13
