"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.04 (0.01-0.07)",0.0065692588873694
"Brain","0.07 (0.04-0.10)",5.19659925596936e-07
"Cardiovascular","0.12 (0.09-0.16)",2.96494485098028e-12
"Endocrine","0.10 (0.06-0.13)",1.0628297259876e-08
"Gastrointestinal","0.09 (0.06-0.12)",9.86856410859056e-08
"Immune","0.11 (0.08-0.15)",1.18344355227412e-10
"Kidney_urinary","0.16 (0.13-0.20)",7.56055996122472e-19
"Liver","0.09 (0.06-0.13)",1.1700099931519e-07
"Lung","0.08 (0.04-0.11)",3.78116102775878e-05
"Muscle","0.09 (0.06-0.13)",2.82024405673545e-07
"Nerve","0.05 (0.02-0.08)",0.00079915840536956
"Ovary","0.08 (0.04-0.12)",0.00047132885562854
"Pancreas","0.08 (0.05-0.12)",1.55549188483715e-06
"Prostate","0.01 (-0.04-0.05)",0.775045079735888
"Skin","0.08 (0.05-0.11)",5.8198055446016e-07
