"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.08 (0.05-0.11)",5.19659925596936e-07
"Brain","0.12 (0.09-0.15)",6.78852992302585e-17
"Cardiovascular","0.16 (0.13-0.20)",2.38185552401171e-20
"Endocrine","0.13 (0.09-0.16)",3.24805923825835e-13
"Gastrointestinal","0.14 (0.11-0.17)",2.33178520554461e-16
"Immune","0.15 (0.12-0.19)",7.47682350681614e-20
"Kidney_urinary","0.20 (0.16-0.23)",1.22536969264562e-27
"Liver","0.14 (0.11-0.17)",3.94405153028459e-17
"Lung","0.12 (0.09-0.15)",9.68046712523081e-15
"Muscle","0.09 (0.06-0.12)",3.84281416928463e-08
"Nerve","0.09 (0.06-0.12)",1.86715610984455e-09
"Ovary","0.11 (0.06-0.16)",1.57495904511706e-05
"Pancreas","0.12 (0.09-0.16)",1.9579820740522e-12
"Prostate","0.08 (0.03-0.13)",0.00225046645983433
"Skin","0.11 (0.08-0.15)",5.11020250173118e-11
