"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.01 (-0.02-0.04)",0.466680273064539
"Brain","-0.02 (-0.04-0.01)",0.280465789605385
"Cardiovascular","-0.04 (-0.07--0.01)",0.0118889105229453
"Endocrine","-0.03 (-0.05-0.00)",0.0818095073300319
"Gastrointestinal","-0.02 (-0.04-0.01)",0.227815680711012
"Immune","-0.01 (-0.04-0.01)",0.387444341123522
"Kidney_urinary","-0.04 (-0.07--0.02)",0.000813373896744935
"Liver","-0.02 (-0.05-0.01)",0.197044891066448
"Lung","-0.01 (-0.04-0.01)",0.405441326319822
"Muscle","0.01 (-0.02-0.04)",0.620709483359928
"Nerve","-0.01 (-0.04-0.01)",0.366480152284187
"Ovary","-0.02 (-0.05-0.02)",0.361474077411063
"Pancreas","-0.00 (-0.03-0.02)",0.780726022604007
"Prostate","0.03 (-0.01-0.07)",0.220963701177205
"Skin","-0.00 (-0.03-0.02)",0.857542503158974
