"Organ","Effect Size (95% CI)","FDR"
"Adipose","-0.01 (-0.04-0.01)",0.43642313085967
"Brain","0.01 (-0.01-0.04)",0.378023881387419
"Cardiovascular","0.00 (-0.03-0.03)",0.957094532738148
"Endocrine","0.01 (-0.01-0.04)",0.394792158496504
"Gastrointestinal","-0.01 (-0.04-0.02)",0.722957535278252
"Immune","0.03 (0.00-0.06)",0.0595916455214034
"Kidney_urinary","0.04 (0.01-0.07)",0.00515328776269637
"Liver","-0.02 (-0.05-0.00)",0.133585784903
"Lung","-0.02 (-0.04-0.00)",0.133585784903
"Muscle","0.01 (-0.02-0.03)",0.542748328829657
"Nerve","-0.03 (-0.06--0.01)",0.0115170691010937
"Ovary","-0.01 (-0.05-0.03)",0.584562956252508
"Pancreas","0.03 (0.00-0.05)",0.0508722423943151
"Prostate","-0.04 (-0.09--0.00)",0.0638849336525634
"Skin","-0.01 (-0.04-0.01)",0.361048825833567
