"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.93 (0.85-1.02)",0.146293862929179
"Brain","0.85 (0.78-0.93)",0.000756380998409455
"Cardiovascular","0.87 (0.80-0.95)",0.00343238791824558
"Endocrine","0.91 (0.83-0.99)",0.0390300977345357
"Gastrointestinal","0.86 (0.79-0.93)",0.00087166176643882
"Immune","0.94 (0.86-1.02)",0.179903403284889
"Kidney_urinary","0.84 (0.77-0.92)",0.000710298397662763
"Liver","0.85 (0.78-0.93)",0.00087166176643882
"Lung","0.87 (0.80-0.95)",0.00274410233858053
"Muscle","0.89 (0.82-0.96)",0.00668883460651539
"Nerve","0.86 (0.79-0.94)",0.00148592503439861
"Ovary","0.83 (0.73-0.95)",0.0079649084163712
"Pancreas","0.99 (0.91-1.07)",0.79183634794587
"Prostate","1.02 (0.91-1.14)",0.79183634794587
"Skin","0.87 (0.80-0.94)",0.00116218807276807
