"Organ","Effect Size (95% CI)","FDR"
"Adipose","1.08 (1.00-1.17)",0.0503265110288456
"Brain","1.14 (1.06-1.22)",0.00065158640861043
"Cardiovascular","1.22 (1.14-1.31)",3.76897761598145e-07
"Endocrine","1.33 (1.22-1.45)",1.88840909234709e-10
"Gastrointestinal","1.43 (1.34-1.54)",9.42772359929246e-22
"Immune","1.21 (1.13-1.30)",1.05166523065896e-06
"Kidney_urinary","1.45 (1.34-1.58)",3.98451687188644e-17
"Liver","1.13 (1.06-1.21)",0.00087166176643882
"Lung","1.34 (1.23-1.46)",1.88840909234709e-10
"Muscle","1.00 (0.94-1.07)",0.900573139777503
"Nerve","1.19 (1.10-1.28)",1.67217520783628e-05
"Ovary","1.05 (0.94-1.16)",0.450908267997698
"Pancreas","1.11 (1.04-1.20)",0.00400018369406464
"Prostate","0.84 (0.76-0.93)",0.0012428395987442
"Skin","0.99 (0.93-1.06)",0.79183634794587
