"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.08 (0.04-0.12)",5.1220712908117e-05
"Brain","0.12 (0.08-0.15)",1.84726379914958e-10
"Cardiovascular","0.18 (0.14-0.22)",3.45512437532097e-14
"Endocrine","0.14 (0.10-0.18)",2.33577956449586e-10
"Gastrointestinal","0.15 (0.10-0.19)",1.32261740483792e-10
"Immune","0.15 (0.10-0.19)",2.9418384817894e-11
"Kidney_urinary","0.22 (0.17-0.26)",4.79595268658044e-19
"Liver","0.12 (0.08-0.16)",8.40360965871966e-09
"Lung","0.14 (0.10-0.18)",2.16148406939076e-11
"Muscle","0.07 (0.04-0.11)",0.000259511281410069
"Nerve","0.10 (0.06-0.13)",1.37526190151641e-06
"Ovary","0.09 (0.04-0.15)",0.00175998017065291
"Pancreas","0.14 (0.10-0.18)",8.85133240904206e-11
"Prostate","0.11 (0.05-0.16)",0.000553455615510142
"Skin","0.11 (0.07-0.14)",1.22707743978973e-07
