"Organ","OR (95% CI)","FDR"
"Adipose","8.0e+00 (2.8e+00-2.2e+01)",0.000389816148197599
"Brain","3.92 (1.97-7.82)",0.000389816148197599
"Cardiovascular","5.0e+00 (2.2e+00-1.1e+01)",0.000396929566594595
"Endocrine","4.32 (1.94-9.62)",0.000473239311005807
"Gastrointestinal","3.86 (1.86-8.01)",0.000442201874731383
"Immune","5.3e+00 (2.2e+00-1.3e+01)",0.000442201874731383
"Kidney and Bladder","7.1e+00 (2.5e+00-2.0e+01)",0.000442201874731383
"Liver","5.1e+00 (2.3e+00-1.2e+01)",0.000389816148197599
"Lung","4.6e+00 (2.1e+00-1.0e+01)",0.000396929566594595
"Muscle","3.81 (1.71-8.50)",0.00136138528473418
"Nerve","1.3e+01 (3.7e+00-4.8e+01)",0.000389816148197599
"Ovary","5.6e+00 (1.7e+00-1.9e+01)",0.00570233728043319
"Pancreas","4.00 (1.93-8.29)",0.000396929566594595
"Prostate","2.21 (1.03-4.71)",0.0408853925270736
"Skin","2.50 (1.42-4.42)",0.0017871328227251
