"Organ","OR (95% CI)","FDR"
"Adipose","1.20 (0.93-1.56)",0.376624187574829
"Brain","1.25 (0.97-1.62)",0.249807126203133
"Cardiovascular","1.37 (1.07-1.76)",0.0962465460298689
"Endocrine","0.97 (0.67-1.41)",0.944544481191333
"Gastrointestinal","1.32 (1.00-1.75)",0.178197875173722
"Immune","1.49 (1.14-1.96)",0.0506721183230066
"Kidney and Bladder","1.16 (0.89-1.51)",0.557365687316715
"Liver","1.12 (0.83-1.52)",0.705986327299819
"Lung","1.15 (0.85-1.54)",0.648802377748374
"Muscle","0.74 (0.56-0.98)",0.160931208114795
"Nerve","0.92 (0.63-1.34)",0.765456970963606
"Ovary","1.25 (0.64-2.43)",0.719607402393036
"Pancreas","0.98 (0.61-1.59)",0.949186303174976
"Prostate","NA (NA-NA)",NA
"Skin","1.13 (0.70-1.84)",0.765456970963606
