"Organ","OR (95% CI)","FDR"
"Adipose","1.19 (0.88-1.60)",0.517378342739856
"Brain","1.07 (0.81-1.39)",0.93894348297297
"Cardiovascular","0.83 (0.63-1.11)",0.492257802916205
"Endocrine","0.90 (0.69-1.18)",0.804951711995547
"Gastrointestinal","1.34 (1.10-1.63)",0.0585621684956802
"Immune","0.97 (0.76-1.25)",0.93894348297297
"Kidney and Bladder","1.01 (0.78-1.31)",0.93894348297297
"Liver","1.04 (0.82-1.32)",0.93894348297297
"Lung","1.23 (0.90-1.67)",0.492257802916205
"Muscle","0.98 (0.72-1.33)",0.93894348297297
"Nerve","0.86 (0.67-1.09)",0.492257802916205
"Ovary","NA (NA-NA)",NA
"Pancreas","1.01 (0.76-1.35)",0.93894348297297
"Prostate","1.31 (1.03-1.66)",0.177578189939055
"Skin","1.25 (0.93-1.67)",0.492257802916205
