"Organ","OR (95% CI)","FDR"
"Adipose","1.02 (0.82-1.26)",0.884507076671646
"Brain","1.40 (1.16-1.70)",0.00256847794172507
"Cardiovascular","1.43 (1.19-1.73)",0.00151469907882674
"Endocrine","1.05 (0.85-1.30)",0.818004039705141
"Gastrointestinal","1.34 (1.07-1.69)",0.0280013915651679
"Immune","1.28 (1.05-1.55)",0.0280013915651679
"Kidney and Bladder","1.18 (0.96-1.46)",0.204256455597999
"Liver","1.49 (1.23-1.80)",0.000768728150707241
"Lung","1.12 (0.89-1.41)",0.459776777953267
"Muscle","1.22 (1.02-1.46)",0.0567298038982644
"Nerve","1.34 (1.09-1.63)",0.0185032424002003
"Ovary","1.07 (0.72-1.59)",0.837180836658133
"Pancreas","1.17 (0.93-1.48)",0.266461148443976
"Prostate","1.34 (1.06-1.69)",0.0280013915651679
"Skin","0.98 (0.81-1.18)",0.868566707115741
