"Organ","OR (95% CI)","FDR"
"Adipose","1.12 (0.96-1.30)",0.200750486189202
"Brain","1.26 (1.08-1.47)",0.00652531891390861
"Cardiovascular","1.33 (1.15-1.53)",0.000634704243277167
"Endocrine","1.38 (1.20-1.59)",0.00017177165546047
"Gastrointestinal","1.35 (1.15-1.58)",0.00075133708985118
"Immune","1.21 (1.05-1.38)",0.0153800674831885
"Kidney and Bladder","1.27 (1.10-1.47)",0.00411432724196343
"Liver","1.21 (1.06-1.39)",0.012436440900043
"Lung","1.14 (0.98-1.32)",0.124689782807438
"Muscle","1.08 (0.96-1.21)",0.22754083016022
"Nerve","1.18 (1.01-1.37)",0.0604732490937155
"Ovary","1.12 (0.88-1.42)",0.374792637979997
"Pancreas","1.31 (1.15-1.50)",0.000418275615944761
"Prostate","1.11 (0.95-1.30)",0.238937374953575
"Skin","0.95 (0.84-1.08)",0.428757148593741
