"Organ","OR (95% CI)","FDR"
"Adipose","1.81 (1.42-2.31)",1.6065297072606e-05
"Brain","1.78 (1.38-2.31)",5.56795836322995e-05
"Cardiovascular","1.70 (1.37-2.12)",1.6065297072606e-05
"Endocrine","1.43 (1.09-1.88)",0.0142104568516447
"Gastrointestinal","1.34 (1.05-1.70)",0.0224031473991576
"Immune","1.49 (1.16-1.93)",0.00467904121740118
"Kidney and Bladder","1.43 (1.08-1.89)",0.016925119251893
"Liver","1.56 (1.22-2.00)",0.00153347897965951
"Lung","1.34 (1.01-1.77)",0.0459964292887515
"Muscle","1.28 (1.08-1.52)",0.00783444396363861
"Nerve","1.61 (1.21-2.13)",0.00293256693641566
"Ovary","1.44 (0.95-2.19)",0.0895197680064244
"Pancreas","1.39 (1.05-1.82)",0.0224031473991576
"Prostate","1.54 (1.17-2.02)",0.00467904121740118
"Skin","1.42 (1.12-1.79)",0.00637738530055465
