"Organ","OR (95% CI)","FDR"
"Adipose","1.38 (1.07-1.80)",0.02711885761557
"Brain","1.39 (1.08-1.80)",0.02711885761557
"Cardiovascular","1.66 (1.35-2.05)",2.46253129279214e-05
"Endocrine","1.55 (1.19-2.02)",0.00342632879889394
"Gastrointestinal","1.41 (1.08-1.86)",0.02711885761557
"Immune","1.75 (1.34-2.27)",0.000185967182889355
"Kidney and Bladder","1.75 (1.36-2.26)",0.000124267469872389
"Liver","1.20 (0.89-1.61)",0.269538057649644
"Lung","1.17 (0.90-1.52)",0.269538057649644
"Muscle","1.23 (1.04-1.45)",0.0274530306643023
"Nerve","1.66 (1.28-2.15)",0.000483957056210987
"Ovary","0.96 (0.63-1.44)",0.833449042418809
"Pancreas","1.35 (1.00-1.81)",0.0718290423952125
"Prostate","1.21 (0.87-1.67)",0.269538057649644
"Skin","1.28 (0.93-1.77)",0.177135287408867
